id,order_id,user_id,product_id,inventory_item_id,returned_at
152013,104663,83582,14235,410368,
40993,28204,22551,14235,110590,
51224,35223,28215,14235,138236,
36717,25278,20165,14235,99072,
131061,90241,71954,14235,353798,
154022,106052,84693,14235,415780,
67253,46269,37023,14159,181497,
116116,80002,63821,14159,313368,
28239,19512,15553,14159,76146,
69641,47894,38312,14159,187914,
132745,91372,72876,14202,358368,
166920,114977,91839,28700,450614,
54884,37750,30232,28700,148082,
97403,67023,53552,14202,262807,
116568,80301,64053,28700,314574,
3141,2165,1760,28700,8464,
75920,52253,41873,14202,204851,
80164,55159,44189,14202,216335,
142854,98355,78482,28700,385646,2023-10-17 00:08:00+00:00
28951,20008,15959,28700,78056,
127343,87683,69897,14202,343765,
123936,85334,68055,13629,334545,
163019,112277,89682,13629,440084,
12417,8613,6882,13629,33494,2024-01-18 13:53:00+00:00
29454,20362,16244,13629,79396,
70326,48347,38681,13629,189772,
142090,97824,78066,14298,383592,
156224,107558,85940,14298,421725,
49378,33965,27223,14298,133187,2023-05-20 07:23:00+00:00
81338,55968,44832,14298,219506,
181002,124695,99579,12536,488701,
35882,24703,19697,12536,96821,
112748,77696,62002,12536,304194,
117438,80895,64513,12536,316927,
166143,114444,91424,12536,448518,
31487,21731,17324,13659,84875,
104924,72282,57732,13659,283091,
122182,84145,67100,15332,329813,
142870,98364,78491,15332,385686,
145938,100484,80219,13659,394011,
105331,72555,57930,15332,284202,
117019,80598,64267,15332,315795,
152653,105117,83953,15332,412095,
81594,56136,44961,13659,220214,
102820,70796,56552,15332,277378,
1069,731,582,9204,2932,
61156,42147,33685,9204,165031,
113652,78311,62477,9043,306681,
142358,98008,78211,9043,384301,
161295,111090,88725,3049,435403,
84206,57925,46323,9204,227254,
106062,73063,58346,9204,286200,
162941,112229,89650,3049,439866,
181578,125103,99896,9204,490203,
59904,41260,33010,3049,161687,
125970,86767,69166,9043,340042,
143189,98583,78667,9204,386549,
180898,124617,99514,9043,488414,
93025,64020,51156,3049,251111,2023-03-13 02:11:00+00:00
140789,96914,77336,3049,380056,2022-09-10 01:15:00+00:00
166576,114731,91647,3049,449685,2023-04-27 20:06:00+00:00
171785,118280,94475,9043,463795,2022-01-28 15:01:00+00:00
32102,22159,17673,9204,86568,
42383,29164,23308,3049,114350,
85801,59027,47169,9043,231539,
133864,92143,73474,9204,361384,
135022,92924,74123,9204,364502,
167684,115497,92256,9043,452724,
14670,10167,8089,14549,39615,
62167,42812,34236,14549,167755,
59801,41193,32956,13606,161411,
16354,11304,9056,13606,44168,
115641,79667,63561,13606,312091,
65720,45214,36192,13606,177352,
84694,58284,46591,13606,228573,
156115,107484,85876,13606,421428,2023-08-08 18:18:00+00:00
106562,73407,58613,13606,287521,
173565,119498,95400,28913,468609,
104515,71989,57497,28913,282008,
140974,97036,77439,28913,380557,
33817,23311,18628,28913,91211,2021-12-31 11:48:00+00:00
93470,64313,51374,28913,252295,2023-12-09 22:22:00+00:00
101469,69866,55835,28913,273732,
117388,80864,64487,28913,316788,
39381,27116,21688,13690,106234,
102962,70898,56630,15395,277764,
137600,94726,75576,13690,371416,
137626,94743,75590,15395,371489,
43077,29644,23690,13690,116183,
73460,50546,40487,13690,198233,
177399,122200,97546,13690,478974,
180194,124128,99135,15395,486514,
14467,10030,7978,13690,39061,
105792,72880,58189,15395,285466,
110705,76286,60867,15395,298712,
168382,115969,92622,28774,454607,
180370,124252,99237,28774,486997,
88577,60943,48728,28774,239073,
156194,107539,85923,28774,421648,
43793,30142,24084,28774,118119,
126487,87122,69437,28774,341448,
171775,118273,94472,28689,463768,
10425,7187,5731,9220,28118,
13223,9167,7313,28921,35684,
53217,36583,29317,29008,143559,
80856,55635,44560,15349,218219,
92697,63783,50982,28862,250204,
100840,69420,55473,28862,272053,
117071,80637,64300,29008,315933,
139191,95826,76470,9220,375692,
170427,117367,93768,28921,460096,
175274,120705,96340,13662,473180,
33451,23048,18402,28548,90229,
33624,23171,18500,28921,90697,
37378,25749,20540,9220,100843,
42946,29557,23623,28862,115850,
45640,31412,25140,13662,123092,
57231,39406,31538,29008,154432,
57665,39693,31779,15349,155611,
67506,46437,37165,29064,182174,
80720,55545,44490,29064,217839,
91235,62780,50178,28548,246234,
94957,65313,52161,13662,256311,
98109,67533,53946,28589,264679,
110130,75885,60530,28589,297169,
122480,84351,67275,28921,330591,
125423,86397,68882,28921,338559,
134058,92274,73583,28862,361918,
161456,111209,88819,13662,435857,
178654,123063,98256,28921,482360,
179754,123815,98872,28589,485316,
180086,124049,99073,9220,486216,
1863,1268,1012,14170,5069,
27913,19291,15358,29008,75273,
28934,19995,15946,28589,78008,
38698,26655,21276,29064,104385,
43123,29678,23718,9220,116308,
47237,32507,26027,29008,127433,
57608,39657,31740,15349,155450,
72493,49856,39926,15349,195612,
74950,51596,41336,28548,202242,
105018,72346,57772,28862,283356,
105898,72948,58249,15349,285749,
106975,73705,58846,15349,288620,
136416,93912,74915,9220,368250,
156119,107487,85878,29008,421440,
171441,118047,94304,28589,462860,
171983,118414,94581,28548,464314,
174130,119904,95720,15744,470112,
28856,19945,15906,28589,77809,2022-12-16 12:13:00+00:00
102148,70318,56173,28589,275541,2023-04-07 13:41:00+00:00
106099,73086,58360,28862,286304,2020-03-25 18:03:00+00:00
180612,124412,99360,14170,487651,2023-12-21 21:16:00+00:00
23390,16182,12914,13662,63114,
25144,17396,13844,15744,67862,
35623,24521,19555,9220,96105,
52420,36024,28863,9220,141422,
63697,43848,35103,28862,171862,
70900,48756,39031,28548,191318,
74889,51554,41304,28921,202077,
91032,62643,50073,13662,245685,
95526,65716,52501,28862,257841,
96532,66422,53065,28589,260483,
105997,73015,58309,15744,286009,
119393,82244,65613,29064,322203,
125954,86754,69151,29064,340002,
138000,94993,75798,29064,372503,
147246,101393,80936,29064,397525,
155382,106990,85483,15349,419453,
15436,10691,8551,28551,41687,
31903,22022,17560,12354,86014,
39971,27526,22008,12265,107819,
60090,41378,33089,15531,162172,
66875,46015,36839,9621,180480,
108710,74911,59787,25276,293307,
108719,74916,59790,12664,293331,
123955,85344,68061,12265,334595,
168826,116288,92885,12351,455797,
173833,119690,95558,25276,469318,
175126,120598,96257,25276,472780,
22591,15634,12504,12265,60963,
92262,63479,50744,12354,249022,
109765,75634,60354,12265,296177,
111898,77115,61518,25276,301929,
121320,83549,66642,25276,327446,
144318,99373,79325,28551,389629,
151341,104206,83219,25276,408584,
153532,105726,84436,12265,414459,
154690,106513,85089,25276,417567,
175030,120530,96196,12265,472534,
419,282,231,25276,1175,
1090,744,595,28551,2986,
17940,12415,9976,25276,48436,
28494,19707,15709,15531,76839,
61851,42604,34076,12265,166895,
73825,50809,40708,9621,199193,
76046,52342,41952,15531,205200,
87838,60427,48306,9621,237074,
130783,90053,71778,12265,353060,
139253,95871,76503,15531,375864,
171911,118364,94538,12351,464120,
181742,125215,99989,15531,490659,
17903,12392,9952,25276,48336,2023-11-15 13:25:00+00:00
68242,46944,37561,12265,184151,2023-10-24 18:44:00+00:00
68259,46959,37575,12354,184199,2021-12-17 08:30:00+00:00
143741,98972,78966,25276,388041,2023-10-15 03:14:00+00:00
1648,1127,899,15531,4484,
3485,2403,1948,12351,9425,
6069,4208,3334,12664,16447,
20753,14381,11517,12664,55985,
22163,15327,12267,25276,59824,
30413,21018,16748,12351,81961,
50352,34640,27735,9621,135836,
55959,38504,30825,12354,151006,
59524,41011,32827,12351,160644,
63568,43768,35041,12664,171503,
77208,53109,42557,28551,208349,
117981,81256,64809,12354,318388,
119627,82391,65740,12354,322833,
137714,94808,75644,9621,371734,
101447,69850,55821,28951,273674,
18357,12685,10189,28951,49568,
60161,41426,33120,28951,162364,
129162,88946,70892,28951,348683,
148360,102152,81556,28951,400543,
66837,45988,36819,28951,180370,2022-07-27 08:56:00+00:00
106775,73559,58737,28951,288076,2023-04-25 05:07:00+00:00
152487,104993,83840,28951,411645,
53208,36576,29314,28972,143538,
175600,120933,96529,28972,474069,
23000,15924,12730,28972,62069,
13327,9235,7375,28972,35974,
44032,30306,24208,28972,118763,
127349,87687,69901,28972,343783,
175418,120813,96425,28972,473582,
88589,60950,48737,28972,239104,
93153,64106,51220,28972,251448,
93028,64023,51158,628,251117,
145443,100147,79958,628,392674,
144427,99441,79387,628,389941,
81456,56046,44891,628,219823,
95133,65437,52270,628,256807,
65120,44807,35877,13607,175709,
129142,88929,70877,15248,348626,
131009,90205,71926,13607,353669,
106264,73196,58459,15248,286738,
126078,86832,69216,15248,340346,
10102,6970,5568,15248,27245,
38091,26228,20959,13607,102762,
48092,33082,26499,13607,129747,
48620,33441,26789,15248,131183,
75380,51883,41568,15248,203395,
79016,54378,43572,13607,213226,
113970,78521,62633,15248,307564,
133938,92195,73520,15248,361585,
125664,86562,69012,9044,339198,
24464,16930,13499,9044,66010,
7925,5502,4348,9044,21400,2022-01-09 08:21:00+00:00
33038,22781,18192,9044,89083,2023-10-14 02:03:00+00:00
65249,44895,35938,9044,176060,2023-03-30 05:14:00+00:00
88920,61169,48905,9044,240001,
116909,80531,64217,9044,315484,
142702,98250,78415,28557,385247,
62028,42722,34167,28557,167378,
93039,64033,51165,28557,251146,
129875,89437,71283,28557,350609,
65814,45278,36239,12659,177611,
90774,62452,49929,12659,244979,
604,411,345,12659,1669,
117244,80758,64399,12659,316394,
169594,116807,93300,12659,457893,
23249,16082,12839,29026,62739,
34320,23643,18892,29025,92600,
51918,35685,28593,29026,140086,
80023,55064,44110,29025,215952,
135835,93498,74574,29025,366689,
96616,66478,53110,29026,260715,
100058,68883,55050,29025,269985,
62953,43337,34670,29025,169841,2024-01-25 14:26:39.200887+00:00
9501,6560,5222,29025,25642,
62832,43254,34597,29025,169508,
64588,44460,35589,29025,174274,
86708,59631,47626,29026,233992,
97659,67217,53704,29026,263502,
149027,102625,81953,12580,402348,
163524,112626,89968,12580,441446,
868,587,472,12580,2393,
75634,52048,41708,12580,204077,
113310,78083,62294,12580,305735,
147174,101348,80899,12580,397336,2023-04-28 20:34:00+00:00
158420,109086,87173,12657,427688,
53450,36744,29438,12657,144204,
143359,98695,78747,9013,387017,
12270,8505,6788,9013,33093,
34069,23476,18757,12657,91920,
33117,22833,18233,9013,89307,2023-03-01 03:03:00+00:00
133536,91910,73290,12657,360497,2023-09-13 23:50:00+00:00
38611,26599,21231,12657,104149,
68378,47040,37640,9013,184514,
117717,81073,64651,12657,317689,
141120,97136,77520,9013,380949,
178827,123175,98361,12657,482818,
59407,40926,32758,13943,160331,
67873,46695,37376,13943,183148,
122324,84242,67186,15834,330183,
164128,113053,90295,15834,443083,
109313,75323,60106,13943,294950,
32810,22629,18050,15834,88471,2023-09-29 07:08:00+00:00
145314,100062,79885,13943,392314,2022-08-03 06:59:00+00:00
29994,20739,16529,13943,80822,
33207,22894,18276,15834,89555,
77236,53128,42568,13943,208431,
133452,91852,73246,15834,360288,
178635,123050,98239,15834,482313,
173824,119683,95552,28406,469295,
90326,62153,49675,28406,243784,
153969,106017,84658,28406,415639,
42121,28993,23159,28715,113651,
